Epoch,Open,High,Low,Close,Volume
2016-02-29 00:00:00-05:00,195.11,196.22,193.57,193.58,11833032
2016-03-01 00:00:00-05:00,195.01,198.18,194.46,198.15,13141176
2016-03-02 00:00:00-05:00,197.73,199.06,197.25,198.99,9893423
2016-03-03 00:00:00-05:00,198.78,199.79,198.11,199.76,8863516
2016-03-04 00:00:00-05:00,200.01,201.345,199.03,200.36,11408755
2016-03-07 00:00:00-05:00,199.36,201.07,199.26,200.6,9486123
2016-03-08 00:00:00-05:00,199.32,199.92,198.215,198.38,11727619
2016-03-09 00:00:00-05:00,199.36,199.79,198.43,199.42,8668535
2016-03-10 00:00:00-05:00,199.95,201.06,197.39,199.51,16593581
2016-03-11 00:00:00-05:00,201.26,202.81,201.13,202.73,11112512
2016-03-14 00:00:00-04:00,202.17,203.03,201.77,202.49,6879212
2016-03-15 00:00:00-04:00,201.37,202.19,201.06,202.17,7024308
2016-03-16 00:00:00-04:00,201.6,203.82,201.55,203.39,13489723
2016-03-17 00:00:00-04:00,203.25,205.22,202.77,204.62,10102496
2016-03-18 00:00:00-04:00,204.18,204.77,203.8,204.47,12572830
2016-03-21 00:00:00-04:00,204.07,204.94,203.81,204.66,7384917
2016-03-22 00:00:00-04:00,203.76,205.23,203.57,204.58,10041903
2016-03-23 00:00:00-04:00,204.12,204.33,203.01,203.23,9918836
2016-03-24 00:00:00-04:00,202.0,203.16,201.74,203.14,8263916
2016-03-28 00:00:00-04:00,203.61,203.86,202.705,203.25,7029502
2016-03-29 00:00:00-04:00,202.76,205.2,202.4,205.14,10049585
2016-03-30 00:00:00-04:00,206.3,206.87,205.6,206.05,9197588
2016-03-31 00:00:00-04:00,205.92,206.41,205.33,205.56,8828406
2016-04-01 00:00:00-04:00,204.35,207.13,203.99,206.91,10359920
2016-04-04 00:00:00-04:00,206.84,207.07,205.89,206.27,5900497
2016-04-05 00:00:00-04:00,204.67,205.26,203.9,204.19,10013940
2016-04-06 00:00:00-04:00,204.29,206.49,203.98,206.41,10535758
2016-04-07 00:00:00-04:00,205.14,205.56,203.09,203.95,11626114
2016-04-08 00:00:00-04:00,205.33,205.84,203.88,204.52,10000746
2016-04-11 00:00:00-04:00,205.25,206.07,203.91,203.97,9483447
2016-04-12 00:00:00-04:00,204.22,206.25,203.71,205.94,11577473
2016-04-13 00:00:00-04:00,207.0,208.095,206.84,208.01,10096862
2016-04-14 00:00:00-04:00,208.07,208.6,207.605,208.02,6940581
2016-04-15 00:00:00-04:00,208.01,208.11,207.4,207.8,6333354
2016-04-18 00:00:00-04:00,207.14,209.26,207.0,209.24,7364489
2016-04-19 00:00:00-04:00,209.74,210.19,208.945,209.87,9451052
2016-04-20 00:00:00-04:00,209.95,210.92,209.4,210.05,7232741
2016-04-21 00:00:00-04:00,210.12,210.25,208.66,208.95,7741449
2016-04-22 00:00:00-04:00,208.55,209.285,207.91,208.98,8103416
2016-04-25 00:00:00-04:00,208.27,208.615,207.54,208.61,6394217
2016-04-26 00:00:00-04:00,209.05,209.52,208.37,208.97,5875195
2016-04-27 00:00:00-04:00,208.47,209.81,208.06,209.37,7713816
